snippet_idx,persona_row_id,k,combo_id,combo_attrs,combo_values,Gender,Race,Ethnicity,Nationality,Culture,NativeLanguage,AgeRange,ReviewStyle,Role,Goal,Seniority,Domain,Priority,Standard,Module,ground_truth,predicted_label,raw_response
29,1,3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,NonBinary,Latino,WhiteIrish,,,,,,,,,,,,,0,0,LABEL: 0
30,1,3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,NonBinary,Latino,WhiteIrish,,,,,,,,,,,,,0,0,LABEL: 0
31,1,3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,NonBinary,Latino,WhiteIrish,,,,,,,,,,,,,0,0,LABEL: 0
32,1,3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,NonBinary,Latino,WhiteIrish,,,,,,,,,,,,,1,0,LABEL: 0
33,1,3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,NonBinary,Latino,WhiteIrish,,,,,,,,,,,,,0,0,LABEL: 0
34,1,3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,NonBinary,Latino,WhiteIrish,,,,,,,,,,,,,0,0,LABEL: 0
35,1,3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,NonBinary,Latino,WhiteIrish,,,,,,,,,,,,,1,0,LABEL: 0
36,1,3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,NonBinary,Latino,WhiteIrish,,,,,,,,,,,,,0,1,LABEL: 1
37,1,3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,NonBinary,Latino,WhiteIrish,,,,,,,,,,,,,0,0,LABEL: 0
38,1,3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,NonBinary,Latino,WhiteIrish,,,,,,,,,,,,,1,0,LABEL: 0
39,1,3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,NonBinary,Latino,WhiteIrish,,,,,,,,,,,,,1,0,LABEL: 0
40,1,3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,NonBinary,Latino,WhiteIrish,,,,,,,,,,,,,1,0,LABEL: 0
41,1,3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,NonBinary,Latino,WhiteIrish,,,,,,,,,,,,,1,0,LABEL: 0
42,1,3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,NonBinary,Latino,WhiteIrish,,,,,,,,,,,,,1,0,LABEL: 0
43,1,3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,NonBinary,Latino,WhiteIrish,,,,,,,,,,,,,0,0,LABEL: 0
44,1,3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,NonBinary,Latino,WhiteIrish,,,,,,,,,,,,,1,0,LABEL: 0
45,1,3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,NonBinary,Latino,WhiteIrish,,,,,,,,,,,,,1,0,LABEL: 0
46,1,3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,NonBinary,Latino,WhiteIrish,,,,,,,,,,,,,0,0,LABEL: 0
47,1,3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,NonBinary,Latino,WhiteIrish,,,,,,,,,,,,,1,0,LABEL: 0
48,1,3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,NonBinary,Latino,WhiteIrish,,,,,,,,,,,,,1,0,LABEL: 0
49,1,3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,NonBinary,Latino,WhiteIrish,,,,,,,,,,,,,1,0,LABEL: 0
0,2,3,2,Gender|Race|Nationality,Woman|Asian|Danish,Woman,Asian,,Danish,,,,,,,,,,,,1,0,LABEL: 0
1,2,3,2,Gender|Race|Nationality,Woman|Asian|Danish,Woman,Asian,,Danish,,,,,,,,,,,,0,0,LABEL: 0
2,2,3,2,Gender|Race|Nationality,Woman|Asian|Danish,Woman,Asian,,Danish,,,,,,,,,,,,0,0,LABEL: 0
3,2,3,2,Gender|Race|Nationality,Woman|Asian|Danish,Woman,Asian,,Danish,,,,,,,,,,,,0,0,LABEL: 0
4,2,3,2,Gender|Race|Nationality,Woman|Asian|Danish,Woman,Asian,,Danish,,,,,,,,,,,,0,0,LABEL: 0
5,2,3,2,Gender|Race|Nationality,Woman|Asian|Danish,Woman,Asian,,Danish,,,,,,,,,,,,0,0,LABEL: 0
6,2,3,2,Gender|Race|Nationality,Woman|Asian|Danish,Woman,Asian,,Danish,,,,,,,,,,,,0,1,LABEL: 1
7,2,3,2,Gender|Race|Nationality,Woman|Asian|Danish,Woman,Asian,,Danish,,,,,,,,,,,,0,0,LABEL: 0
8,2,3,2,Gender|Race|Nationality,Woman|Asian|Danish,Woman,Asian,,Danish,,,,,,,,,,,,0,0,LABEL: 0
9,2,3,2,Gender|Race|Nationality,Woman|Asian|Danish,Woman,Asian,,Danish,,,,,,,,,,,,1,0,LABEL: 0
10,2,3,2,Gender|Race|Nationality,Woman|Asian|Danish,Woman,Asian,,Danish,,,,,,,,,,,,1,0,LABEL: 0
11,2,3,2,Gender|Race|Nationality,Woman|Asian|Danish,Woman,Asian,,Danish,,,,,,,,,,,,1,0,LABEL: 0
12,2,3,2,Gender|Race|Nationality,Woman|Asian|Danish,Woman,Asian,,Danish,,,,,,,,,,,,1,0,LABEL: 0
13,2,3,2,Gender|Race|Nationality,Woman|Asian|Danish,Woman,Asian,,Danish,,,,,,,,,,,,1,0,LABEL: 0
14,2,3,2,Gender|Race|Nationality,Woman|Asian|Danish,Woman,Asian,,Danish,,,,,,,,,,,,1,0,LABEL: 0
15,2,3,2,Gender|Race|Nationality,Woman|Asian|Danish,Woman,Asian,,Danish,,,,,,,,,,,,0,0,LABEL: 0
16,2,3,2,Gender|Race|Nationality,Woman|Asian|Danish,Woman,Asian,,Danish,,,,,,,,,,,,1,0,LABEL: 0
17,2,3,2,Gender|Race|Nationality,Woman|Asian|Danish,Woman,Asian,,Danish,,,,,,,,,,,,0,0,LABEL: 0
18,2,3,2,Gender|Race|Nationality,Woman|Asian|Danish,Woman,Asian,,Danish,,,,,,,,,,,,0,0,LABEL: 0
19,2,3,2,Gender|Race|Nationality,Woman|Asian|Danish,Woman,Asian,,Danish,,,,,,,,,,,,1,0,LABEL: 0
20,2,3,2,Gender|Race|Nationality,Woman|Asian|Danish,Woman,Asian,,Danish,,,,,,,,,,,,0,0,LABEL: 0
21,2,3,2,Gender|Race|Nationality,Woman|Asian|Danish,Woman,Asian,,Danish,,,,,,,,,,,,0,0,LABEL: 0
22,2,3,2,Gender|Race|Nationality,Woman|Asian|Danish,Woman,Asian,,Danish,,,,,,,,,,,,1,0,LABEL: 0
23,2,3,2,Gender|Race|Nationality,Woman|Asian|Danish,Woman,Asian,,Danish,,,,,,,,,,,,0,0,LABEL: 0
24,2,3,2,Gender|Race|Nationality,Woman|Asian|Danish,Woman,Asian,,Danish,,,,,,,,,,,,1,0,LABEL: 0
25,2,3,2,Gender|Race|Nationality,Woman|Asian|Danish,Woman,Asian,,Danish,,,,,,,,,,,,1,0,LABEL: 0
26,2,3,2,Gender|Race|Nationality,Woman|Asian|Danish,Woman,Asian,,Danish,,,,,,,,,,,,0,0,LABEL: 0
27,2,3,2,Gender|Race|Nationality,Woman|Asian|Danish,Woman,Asian,,Danish,,,,,,,,,,,,1,1,LABEL: 1
28,2,3,2,Gender|Race|Nationality,Woman|Asian|Danish,Woman,Asian,,Danish,,,,,,,,,,,,0,0,LABEL: 0
29,2,3,2,Gender|Race|Nationality,Woman|Asian|Danish,Woman,Asian,,Danish,,,,,,,,,,,,0,0,LABEL: 0
30,2,3,2,Gender|Race|Nationality,Woman|Asian|Danish,Woman,Asian,,Danish,,,,,,,,,,,,0,0,LABEL: 0
31,2,3,2,Gender|Race|Nationality,Woman|Asian|Danish,Woman,Asian,,Danish,,,,,,,,,,,,0,0,LABEL: 0
32,2,3,2,Gender|Race|Nationality,Woman|Asian|Danish,Woman,Asian,,Danish,,,,,,,,,,,,1,0,LABEL: 0
33,2,3,2,Gender|Race|Nationality,Woman|Asian|Danish,Woman,Asian,,Danish,,,,,,,,,,,,0,0,LABEL: 0
34,2,3,2,Gender|Race|Nationality,Woman|Asian|Danish,Woman,Asian,,Danish,,,,,,,,,,,,0,0,LABEL: 0
35,2,3,2,Gender|Race|Nationality,Woman|Asian|Danish,Woman,Asian,,Danish,,,,,,,,,,,,1,0,LABEL: 0
36,2,3,2,Gender|Race|Nationality,Woman|Asian|Danish,Woman,Asian,,Danish,,,,,,,,,,,,0,1,LABEL: 1
37,2,3,2,Gender|Race|Nationality,Woman|Asian|Danish,Woman,Asian,,Danish,,,,,,,,,,,,0,0,LABEL: 0
38,2,3,2,Gender|Race|Nationality,Woman|Asian|Danish,Woman,Asian,,Danish,,,,,,,,,,,,1,0,LABEL: 0
39,2,3,2,Gender|Race|Nationality,Woman|Asian|Danish,Woman,Asian,,Danish,,,,,,,,,,,,1,0,LABEL: 0
40,2,3,2,Gender|Race|Nationality,Woman|Asian|Danish,Woman,Asian,,Danish,,,,,,,,,,,,1,0,LABEL: 0
41,2,3,2,Gender|Race|Nationality,Woman|Asian|Danish,Woman,Asian,,Danish,,,,,,,,,,,,1,0,LABEL: 0
42,2,3,2,Gender|Race|Nationality,Woman|Asian|Danish,Woman,Asian,,Danish,,,,,,,,,,,,1,0,LABEL: 0
43,2,3,2,Gender|Race|Nationality,Woman|Asian|Danish,Woman,Asian,,Danish,,,,,,,,,,,,0,0,LABEL: 0
44,2,3,2,Gender|Race|Nationality,Woman|Asian|Danish,Woman,Asian,,Danish,,,,,,,,,,,,1,0,LABEL: 0
45,2,3,2,Gender|Race|Nationality,Woman|Asian|Danish,Woman,Asian,,Danish,,,,,,,,,,,,1,0,LABEL: 0
46,2,3,2,Gender|Race|Nationality,Woman|Asian|Danish,Woman,Asian,,Danish,,,,,,,,,,,,0,0,LABEL: 0
47,2,3,2,Gender|Race|Nationality,Woman|Asian|Danish,Woman,Asian,,Danish,,,,,,,,,,,,1,0,LABEL: 0
48,2,3,2,Gender|Race|Nationality,Woman|Asian|Danish,Woman,Asian,,Danish,,,,,,,,,,,,1,0,LABEL: 0
49,2,3,2,Gender|Race|Nationality,Woman|Asian|Danish,Woman,Asian,,Danish,,,,,,,,,,,,1,0,LABEL: 0
0,3,3,3,Gender|Race|Culture,TwoSpirit|Latino|IndianCulture,TwoSpirit,Latino,,,IndianCulture,,,,,,,,,,,1,0,LABEL: 0
1,3,3,3,Gender|Race|Culture,TwoSpirit|Latino|IndianCulture,TwoSpirit,Latino,,,IndianCulture,,,,,,,,,,,0,0,LABEL: 0
2,3,3,3,Gender|Race|Culture,TwoSpirit|Latino|IndianCulture,TwoSpirit,Latino,,,IndianCulture,,,,,,,,,,,0,0,LABEL: 0
3,3,3,3,Gender|Race|Culture,TwoSpirit|Latino|IndianCulture,TwoSpirit,Latino,,,IndianCulture,,,,,,,,,,,0,1,LABEL: 1
4,3,3,3,Gender|Race|Culture,TwoSpirit|Latino|IndianCulture,TwoSpirit,Latino,,,IndianCulture,,,,,,,,,,,0,0,LABEL: 0
5,3,3,3,Gender|Race|Culture,TwoSpirit|Latino|IndianCulture,TwoSpirit,Latino,,,IndianCulture,,,,,,,,,,,0,0,LABEL: 0
6,3,3,3,Gender|Race|Culture,TwoSpirit|Latino|IndianCulture,TwoSpirit,Latino,,,IndianCulture,,,,,,,,,,,0,0,LABEL: 0
7,3,3,3,Gender|Race|Culture,TwoSpirit|Latino|IndianCulture,TwoSpirit,Latino,,,IndianCulture,,,,,,,,,,,0,0,LABEL: 0
8,3,3,3,Gender|Race|Culture,TwoSpirit|Latino|IndianCulture,TwoSpirit,Latino,,,IndianCulture,,,,,,,,,,,0,0,LABEL: 0
9,3,3,3,Gender|Race|Culture,TwoSpirit|Latino|IndianCulture,TwoSpirit,Latino,,,IndianCulture,,,,,,,,,,,1,0,LABEL: 0
10,3,3,3,Gender|Race|Culture,TwoSpirit|Latino|IndianCulture,TwoSpirit,Latino,,,IndianCulture,,,,,,,,,,,1,0,LABEL: 0
11,3,3,3,Gender|Race|Culture,TwoSpirit|Latino|IndianCulture,TwoSpirit,Latino,,,IndianCulture,,,,,,,,,,,1,0,LABEL: 0
12,3,3,3,Gender|Race|Culture,TwoSpirit|Latino|IndianCulture,TwoSpirit,Latino,,,IndianCulture,,,,,,,,,,,1,0,LABEL: 0
13,3,3,3,Gender|Race|Culture,TwoSpirit|Latino|IndianCulture,TwoSpirit,Latino,,,IndianCulture,,,,,,,,,,,1,0,LABEL: 0
14,3,3,3,Gender|Race|Culture,TwoSpirit|Latino|IndianCulture,TwoSpirit,Latino,,,IndianCulture,,,,,,,,,,,1,0,LABEL: 0
15,3,3,3,Gender|Race|Culture,TwoSpirit|Latino|IndianCulture,TwoSpirit,Latino,,,IndianCulture,,,,,,,,,,,0,1,LABEL: 1
16,3,3,3,Gender|Race|Culture,TwoSpirit|Latino|IndianCulture,TwoSpirit,Latino,,,IndianCulture,,,,,,,,,,,1,0,LABEL: 0
17,3,3,3,Gender|Race|Culture,TwoSpirit|Latino|IndianCulture,TwoSpirit,Latino,,,IndianCulture,,,,,,,,,,,0,0,LABEL: 0
18,3,3,3,Gender|Race|Culture,TwoSpirit|Latino|IndianCulture,TwoSpirit,Latino,,,IndianCulture,,,,,,,,,,,0,0,LABEL: 0
19,3,3,3,Gender|Race|Culture,TwoSpirit|Latino|IndianCulture,TwoSpirit,Latino,,,IndianCulture,,,,,,,,,,,1,0,LABEL: 0
20,3,3,3,Gender|Race|Culture,TwoSpirit|Latino|IndianCulture,TwoSpirit,Latino,,,IndianCulture,,,,,,,,,,,0,0,LABEL: 0
21,3,3,3,Gender|Race|Culture,TwoSpirit|Latino|IndianCulture,TwoSpirit,Latino,,,IndianCulture,,,,,,,,,,,0,0,LABEL: 0
22,3,3,3,Gender|Race|Culture,TwoSpirit|Latino|IndianCulture,TwoSpirit,Latino,,,IndianCulture,,,,,,,,,,,1,1,LABEL: 1
23,3,3,3,Gender|Race|Culture,TwoSpirit|Latino|IndianCulture,TwoSpirit,Latino,,,IndianCulture,,,,,,,,,,,0,1,LABEL: 1
24,3,3,3,Gender|Race|Culture,TwoSpirit|Latino|IndianCulture,TwoSpirit,Latino,,,IndianCulture,,,,,,,,,,,1,0,LABEL: 0
25,3,3,3,Gender|Race|Culture,TwoSpirit|Latino|IndianCulture,TwoSpirit,Latino,,,IndianCulture,,,,,,,,,,,1,1,LABEL: 1
26,3,3,3,Gender|Race|Culture,TwoSpirit|Latino|IndianCulture,TwoSpirit,Latino,,,IndianCulture,,,,,,,,,,,0,0,LABEL: 0
27,3,3,3,Gender|Race|Culture,TwoSpirit|Latino|IndianCulture,TwoSpirit,Latino,,,IndianCulture,,,,,,,,,,,1,1,LABEL: 1
28,3,3,3,Gender|Race|Culture,TwoSpirit|Latino|IndianCulture,TwoSpirit,Latino,,,IndianCulture,,,,,,,,,,,0,0,LABEL: 0
29,3,3,3,Gender|Race|Culture,TwoSpirit|Latino|IndianCulture,TwoSpirit,Latino,,,IndianCulture,,,,,,,,,,,0,0,LABEL: 0
30,3,3,3,Gender|Race|Culture,TwoSpirit|Latino|IndianCulture,TwoSpirit,Latino,,,IndianCulture,,,,,,,,,,,0,0,LABEL: 0
31,3,3,3,Gender|Race|Culture,TwoSpirit|Latino|IndianCulture,TwoSpirit,Latino,,,IndianCulture,,,,,,,,,,,0,0,LABEL: 0
32,3,3,3,Gender|Race|Culture,TwoSpirit|Latino|IndianCulture,TwoSpirit,Latino,,,IndianCulture,,,,,,,,,,,1,0,LABEL: 0
33,3,3,3,Gender|Race|Culture,TwoSpirit|Latino|IndianCulture,TwoSpirit,Latino,,,IndianCulture,,,,,,,,,,,0,0,LABEL: 0
34,3,3,3,Gender|Race|Culture,TwoSpirit|Latino|IndianCulture,TwoSpirit,Latino,,,IndianCulture,,,,,,,,,,,0,0,LABEL: 0
35,3,3,3,Gender|Race|Culture,TwoSpirit|Latino|IndianCulture,TwoSpirit,Latino,,,IndianCulture,,,,,,,,,,,1,0,LABEL: 0
36,3,3,3,Gender|Race|Culture,TwoSpirit|Latino|IndianCulture,TwoSpirit,Latino,,,IndianCulture,,,,,,,,,,,0,1,LABEL: 1
37,3,3,3,Gender|Race|Culture,TwoSpirit|Latino|IndianCulture,TwoSpirit,Latino,,,IndianCulture,,,,,,,,,,,0,0,LABEL: 0
38,3,3,3,Gender|Race|Culture,TwoSpirit|Latino|IndianCulture,TwoSpirit,Latino,,,IndianCulture,,,,,,,,,,,1,0,LABEL: 0
39,3,3,3,Gender|Race|Culture,TwoSpirit|Latino|IndianCulture,TwoSpirit,Latino,,,IndianCulture,,,,,,,,,,,1,0,LABEL: 0
40,3,3,3,Gender|Race|Culture,TwoSpirit|Latino|IndianCulture,TwoSpirit,Latino,,,IndianCulture,,,,,,,,,,,1,0,LABEL: 0
41,3,3,3,Gender|Race|Culture,TwoSpirit|Latino|IndianCulture,TwoSpirit,Latino,,,IndianCulture,,,,,,,,,,,1,0,LABEL: 0
42,3,3,3,Gender|Race|Culture,TwoSpirit|Latino|IndianCulture,TwoSpirit,Latino,,,IndianCulture,,,,,,,,,,,1,0,LABEL: 0
43,3,3,3,Gender|Race|Culture,TwoSpirit|Latino|IndianCulture,TwoSpirit,Latino,,,IndianCulture,,,,,,,,,,,0,0,LABEL: 0
44,3,3,3,Gender|Race|Culture,TwoSpirit|Latino|IndianCulture,TwoSpirit,Latino,,,IndianCulture,,,,,,,,,,,1,0,LABEL: 0
45,3,3,3,Gender|Race|Culture,TwoSpirit|Latino|IndianCulture,TwoSpirit,Latino,,,IndianCulture,,,,,,,,,,,1,0,LABEL: 0
46,3,3,3,Gender|Race|Culture,TwoSpirit|Latino|IndianCulture,TwoSpirit,Latino,,,IndianCulture,,,,,,,,,,,0,0,LABEL: 0
47,3,3,3,Gender|Race|Culture,TwoSpirit|Latino|IndianCulture,TwoSpirit,Latino,,,IndianCulture,,,,,,,,,,,1,0,LABEL: 0
48,3,3,3,Gender|Race|Culture,TwoSpirit|Latino|IndianCulture,TwoSpirit,Latino,,,IndianCulture,,,,,,,,,,,1,0,LABEL: 0
49,3,3,3,Gender|Race|Culture,TwoSpirit|Latino|IndianCulture,TwoSpirit,Latino,,,IndianCulture,,,,,,,,,,,1,0,LABEL: 0
0,4,3,4,Gender|Race|NativeLanguage,Woman|MiddleEasternOrNorthAfrican|GermanLang,Woman,MiddleEasternOrNorthAfrican,,,,GermanLang,,,,,,,,,,1,0,LABEL: 0
1,4,3,4,Gender|Race|NativeLanguage,Woman|MiddleEasternOrNorthAfrican|GermanLang,Woman,MiddleEasternOrNorthAfrican,,,,GermanLang,,,,,,,,,,0,0,LABEL: 0
2,4,3,4,Gender|Race|NativeLanguage,Woman|MiddleEasternOrNorthAfrican|GermanLang,Woman,MiddleEasternOrNorthAfrican,,,,GermanLang,,,,,,,,,,0,0,LABEL: 0
3,4,3,4,Gender|Race|NativeLanguage,Woman|MiddleEasternOrNorthAfrican|GermanLang,Woman,MiddleEasternOrNorthAfrican,,,,GermanLang,,,,,,,,,,0,1,LABEL: 1
4,4,3,4,Gender|Race|NativeLanguage,Woman|MiddleEasternOrNorthAfrican|GermanLang,Woman,MiddleEasternOrNorthAfrican,,,,GermanLang,,,,,,,,,,0,0,LABEL: 0
5,4,3,4,Gender|Race|NativeLanguage,Woman|MiddleEasternOrNorthAfrican|GermanLang,Woman,MiddleEasternOrNorthAfrican,,,,GermanLang,,,,,,,,,,0,0,LABEL: 0
6,4,3,4,Gender|Race|NativeLanguage,Woman|MiddleEasternOrNorthAfrican|GermanLang,Woman,MiddleEasternOrNorthAfrican,,,,GermanLang,,,,,,,,,,0,0,LABEL: 0
7,4,3,4,Gender|Race|NativeLanguage,Woman|MiddleEasternOrNorthAfrican|GermanLang,Woman,MiddleEasternOrNorthAfrican,,,,GermanLang,,,,,,,,,,0,0,LABEL: 0
8,4,3,4,Gender|Race|NativeLanguage,Woman|MiddleEasternOrNorthAfrican|GermanLang,Woman,MiddleEasternOrNorthAfrican,,,,GermanLang,,,,,,,,,,0,0,LABEL: 0
9,4,3,4,Gender|Race|NativeLanguage,Woman|MiddleEasternOrNorthAfrican|GermanLang,Woman,MiddleEasternOrNorthAfrican,,,,GermanLang,,,,,,,,,,1,0,LABEL: 0
10,4,3,4,Gender|Race|NativeLanguage,Woman|MiddleEasternOrNorthAfrican|GermanLang,Woman,MiddleEasternOrNorthAfrican,,,,GermanLang,,,,,,,,,,1,0,LABEL: 0
11,4,3,4,Gender|Race|NativeLanguage,Woman|MiddleEasternOrNorthAfrican|GermanLang,Woman,MiddleEasternOrNorthAfrican,,,,GermanLang,,,,,,,,,,1,0,LABEL: 0
12,4,3,4,Gender|Race|NativeLanguage,Woman|MiddleEasternOrNorthAfrican|GermanLang,Woman,MiddleEasternOrNorthAfrican,,,,GermanLang,,,,,,,,,,1,0,LABEL: 0
13,4,3,4,Gender|Race|NativeLanguage,Woman|MiddleEasternOrNorthAfrican|GermanLang,Woman,MiddleEasternOrNorthAfrican,,,,GermanLang,,,,,,,,,,1,0,LABEL: 0
14,4,3,4,Gender|Race|NativeLanguage,Woman|MiddleEasternOrNorthAfrican|GermanLang,Woman,MiddleEasternOrNorthAfrican,,,,GermanLang,,,,,,,,,,1,0,LABEL: 0
15,4,3,4,Gender|Race|NativeLanguage,Woman|MiddleEasternOrNorthAfrican|GermanLang,Woman,MiddleEasternOrNorthAfrican,,,,GermanLang,,,,,,,,,,0,1,LABEL: 1
16,4,3,4,Gender|Race|NativeLanguage,Woman|MiddleEasternOrNorthAfrican|GermanLang,Woman,MiddleEasternOrNorthAfrican,,,,GermanLang,,,,,,,,,,1,0,LABEL: 0
17,4,3,4,Gender|Race|NativeLanguage,Woman|MiddleEasternOrNorthAfrican|GermanLang,Woman,MiddleEasternOrNorthAfrican,,,,GermanLang,,,,,,,,,,0,0,LABEL: 0
18,4,3,4,Gender|Race|NativeLanguage,Woman|MiddleEasternOrNorthAfrican|GermanLang,Woman,MiddleEasternOrNorthAfrican,,,,GermanLang,,,,,,,,,,0,0,LABEL: 0
19,4,3,4,Gender|Race|NativeLanguage,Woman|MiddleEasternOrNorthAfrican|GermanLang,Woman,MiddleEasternOrNorthAfrican,,,,GermanLang,,,,,,,,,,1,0,LABEL: 0
20,4,3,4,Gender|Race|NativeLanguage,Woman|MiddleEasternOrNorthAfrican|GermanLang,Woman,MiddleEasternOrNorthAfrican,,,,GermanLang,,,,,,,,,,0,0,LABEL: 0
