snippet_idx,issue,code
30,0,response flow file session create file to process route file to process response flow file session context response code [SEP] catch final exception e [SEP] penalize or yield if file to process null logger error routing to due to exception new object rel failure get name e e
31,0,return retry bootstrapping with bootstrap configuration get node descriptions [SEP]  [SEP] override public string executor
32,1,public enum response code [SEP]  [SEP] id 0 no error noerror 0 no error
33,0,tchar pattern as defined by rfc7230 section 3 2 6 private static final pattern tchar pattern pattern compile a z a z0 9 [SEP] private parsed media type string type string sub type map string string parameters [SEP] this type type this sub type sub type this parameters collections unmodifiable map parameters
34,0,import java util map import java util set import java util regex pattern [SEP] import java util stream collectors [SEP] import static org elasticsearch common unit byte size value parse bytes size value import static org elasticsearch common unit time value parse time value
35,1,else pivot validate query client config get source pivot validation listener [SEP]  [SEP] 
36,0,public class locking executor implements executor [SEP] private final job scheduler job scheduler [SEP] private final job scheduler group group private final atomic boolean latch new atomic boolean false
37,0,or more contributor license agreements licensed under the elastic license you may not use this file except in compliance with the elastic license [SEP] package org elasticsearch xpack monitoring collector node [SEP] import org elasticsearch action admin cluster node stats node stats import org elasticsearch action admin cluster node stats nodes stats request
38,1,public metrics web filter meter registry registry web flux tags provider tags provider string metric name boolean auto time requests [SEP] double auto time requests default percentiles [SEP] boolean auto time requests default histogram this registry registry this tags provider tags provider
39,1,import static org elasticsearch rest rest status ok [SEP]  [SEP] public class rest controller extends abstract lifecycle component rest controller private final path trie rest handler get handlers new path trie rest utils rest decoder
40,1,the resulting link k table will be materialized in a local state store with the given store name also a changelog topic named application id store name changelog will be automatically created in kafka for failure recovery where application id [SEP] is specified by the user in link org apache kafka streams streams config [SEP] param store name the name of the underlying link k table state store
41,1,when row get string key then return value when row get schema then return new schema col schema [SEP] return row [SEP] 
42,1,in particular in order to calculate the roc we get percentiles of tp and fp against the predicted probability we call those rate threshold curves we then scan roc points from each rate threshold curve against the [SEP] other using interpolation this gives us an approximation of the roc curve [SEP] that has the advantage of being efficient and resilient to some edge cases when this is used for multi class classification it will calculate the roc
43,0,final saml service provider sp service provider factory build service provider doc matches put name sp [SEP]  [SEP] switch matches size case 0
44,1,set the minimum count of matching documents that buckets need to have and return this builder so that calls can be chained public date histogram aggregation builder min doc count long min doc count [SEP] if min doc count 0 [SEP] throw new illegal argument exception min doc count must be greater than or equal to 0 found min doc count in name
45,1,private final string job id private int detector index private double probability [SEP] private double impact [SEP] private string by field name private string by field value private string correlated by field value
46,0,seen ignored rejection maxspan [SEP] rejection until [SEP] public void clear
47,1,test [SEP] public void test lambda interface no state [SEP] action1 subscriber super integer next new action1 subscriber super integer override public void call subscriber super integer t2
48,1,import java util concurrent thread pool executor import static org mockito mockito is null [SEP] import static org mockito mockito mock [SEP] import static org junit assert assert equals import static org junit assert assert null import static org junit assert assert true
49,1,param p0 parameter to the message param p1 parameter to the message [SEP] void info string message object p0 object p1 [SEP] logs a message with parameters at info level
